监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率    (μS/cm),浊度(NTU)
2018-08-05 01:00,24.5,8.20,5.52,484.9,2.7
2018-08-05 02:00,24.5,8.20,5.45,484.6,2.7
2018-08-05 03:00,24.5,8.20,5.38,484.4,2.3
2018-08-05 04:00,24.5,8.21,5.34,484.5,2.5
2018-08-05 05:00,24.5,8.21,5.30,484.5,2.5
2018-08-05 06:00,24.4,8.21,5.28,484.5,2.5
2018-08-05 07:00,24.4,8.21,5.28,484.6,2.3
2018-08-05 08:00,24.4,8.21,5.29,484.5,2.2
2018-08-05 09:00,24.4,8.22,5.31,484.1,2.1
2018-08-05 10:00,24.4,8.23,5.32,484.2,1.9
2018-08-05 11:00,24.4,8.25,5.32,482.9,1.9
2018-08-05 12:00,24.5,8.27,5.33,483.1,1.8
2018-08-05 13:00,24.5,8.29,5.36,482.7,1.9
2018-08-05 14:00,24.6,8.30,5.42,482.7,1.6
2018-08-05 15:00,24.7,8.32,5.50,482.3,1.5
2018-08-05 16:00,24.7,8.32,5.54,482.7,1.4
2018-08-05 17:00,24.8,8.32,5.59,482.7,1.5
2018-08-05 18:00,24.8,8.33,5.62,483.2,1.3
2018-08-05 19:00,24.9,8.32,5.64,483.0,1.3
2018-08-05 20:00,24.9,8.32,5.65,483.1,1.3
2018-08-05 21:00,25.0,8.32,5.66,482.9,1.2
2018-08-05 22:00,25.0,8.32,5.67,482.8,1.3
2018-08-05 23:00,25.0,8.30,5.65,482.4,1.2
2018-08-06 00:00,25.0,8.30,5.64,482.4,1.1
2018-08-06 01:00,25.0,8.30,5.62,481.4,1.0
2018-08-06 02:00,25.0,8.30,5.60,481.4,1.0
2018-08-06 03:00,25.0,8.29,5.57,480.9,1.0
2018-08-06 04:00,25.0,8.28,5.55,481.6,1.0
2018-08-06 05:00,24.9,8.25,5.50,482.0,1.0
2018-08-06 06:00,24.8,8.22,5.42,483.5,1.1
2018-08-06 07:00,24.8,8.20,5.27,484.3,1.1
2018-08-06 08:00,24.7,8.18,5.15,484.8,1.1
2018-08-06 09:00,24.7,8.18,5.09,484.2,1.0
2018-08-06 10:00,24.7,8.19,5.08,483.9,1.0
2018-08-06 11:00,24.7,8.22,5.07,482.1,1.0
2018-08-06 12:00,24.8,8.24,5.10,481.7,1.1
2018-08-06 13:00,24.8,8.26,5.16,481.0,1.0
2018-08-06 14:00,24.9,8.28,5.29,480.5,1.0
2018-08-06 15:00,25.0,8.30,5.42,480.1,1.0
2018-08-06 16:00,25.0,8.31,5.50,480.1,0.9
2018-08-06 17:00,25.0,8.31,5.56,480.1,0.9
2018-08-06 18:00,25.1,8.31,5.60,480.1,0.9
2018-08-06 19:00,25.1,8.31,5.63,479.7,0.9
2018-08-06 20:00,25.2,8.31,5.65,479.7,0.9
2018-08-06 21:00,25.2,8.30,5.65,479.1,0.9
2018-08-06 22:00,25.2,8.30,5.64,478.8,0.9
2018-08-06 23:00,25.2,8.29,5.61,478.1,0.8
2018-08-07 00:00,25.1,8.28,5.57,478.5,0.9
2018-08-07 01:00,25.1,8.27,5.53,477.7,0.8
2018-08-07 02:00,25.1,8.27,5.49,478.0,0.9
2018-08-07 03:00,25.0,8.26,5.42,477.8,0.8
2018-08-07 04:00,25.0,8.26,5.35,478.2,0.8
2018-08-07 05:00,25.0,8.24,5.24,478.0,0.8
2018-08-07 06:00,24.9,8.20,5.13,479.3,0.9
2018-08-07 07:00,24.8,8.17,5.04,481.8,0.8
2018-08-07 08:00,24.8,8.15,4.97,482.6,0.8
2018-08-07 09:00,24.7,8.15,4.93,482.4,0.8
2018-08-07 10:00,24.7,8.16,4.95,482.6,0.9
2018-08-07 11:00,24.7,8.18,5.00,480.7,0.8
2018-08-07 12:00,24.8,8.18,5.05,479.4,0.8
2018-08-07 13:00,24.8,8.20,5.15,477.6,0.8
2018-08-07 14:00,24.8,8.22,5.30,477.4,0.8
2018-08-07 15:00,24.9,8.24,5.45,477.2,0.8
2018-08-07 16:00,24.9,8.26,5.55,477.7,0.8
2018-08-07 17:00,24.9,8.26,5.61,477.2,0.8
2018-08-07 18:00,25.0,8.27,5.64,477.5,0.8
2018-08-07 19:00,25.0,8.27,5.66,476.9,0.8
2018-08-07 20:00,25.0,8.27,5.67,477.2,0.8
2018-08-07 21:00,25.1,8.27,5.68,476.6,0.8
2018-08-07 22:00,25.1,8.27,5.67,476.8,0.8
2018-08-07 23:00,25.1,8.26,5.66,475.6,0.7
2018-08-08 00:00,25.1,8.25,5.65,475.2,0.7
2018-08-08 01:00,25.1,8.25,5.64,474.2,0.7
2018-08-08 02:00,25.1,8.25,5.65,474.1,0.7
2018-08-08 03:00,25.0,8.25,5.64,473.3,0.7
2018-08-08 04:00,25.0,8.25,5.62,473.9,0.7
2018-08-08 05:00,25.0,8.25,5.59,473.3,0.7
2018-08-08 06:00,24.9,8.25,5.56,473.4,0.7
2018-08-08 07:00,24.9,8.24,5.50,472.9,0.7
2018-08-08 08:00,24.9,8.24,5.47,473.2,0.7
2018-08-08 09:00,24.8,8.24,5.44,472.5,0.7
2018-08-08 10:00,24.8,8.23,5.46,472.5,0.7
2018-08-08 11:00,24.8,8.23,5.51,472.0,0.7
2018-08-08 12:00,24.9,8.23,5.60,472.1,0.7
2018-08-08 13:00,24.9,8.23,5.65,472.6,0.7
2018-08-08 14:00,25.0,8.24,5.68,473.1,0.7
2018-08-08 15:00,25.0,8.24,5.69,473.2,0.7
2018-08-08 16:00,25.1,8.25,5.69,473.3,0.7
2018-08-08 17:00,25.1,8.25,5.70,473.3,0.7
2018-08-08 18:00,25.1,8.25,5.70,473.4,0.7
2018-08-08 19:00,25.2,8.24,5.69,472.5,0.7
2018-08-08 20:00,25.2,8.24,5.69,472.9,0.7
2018-08-08 21:00,25.2,8.24,5.69,472.3,0.7
2018-08-08 22:00,25.2,8.24,5.68,472.0,0.7
2018-08-08 23:00,25.2,8.24,5.67,471.1,0.6
2018-08-09 00:00,25.2,8.23,5.66,470.8,0.6
2018-08-09 01:00,25.2,8.23,5.65,469.8,0.6
2018-08-09 02:00,25.2,8.23,5.65,469.9,0.6
2018-08-09 03:00,25.2,8.23,5.64,469.4,0.6
2018-08-09 04:00,25.1,8.23,5.64,469.9,0.6
2018-08-09 05:00,25.1,8.23,5.61,469.3,0.7
2018-08-09 06:00,25.0,8.23,5.60,469.5,0.6
2018-08-09 07:00,25.0,8.22,5.57,469.4,0.6
2018-08-09 08:00,24.9,8.22,5.57,469.6,0.6
2018-08-09 09:00,24.9,8.22,5.58,469.2,0.7
2018-08-09 10:00,24.9,8.22,5.64,469.3,0.6
2018-08-09 11:00,25.0,8.23,5.68,469.3,0.6
2018-08-09 12:00,25.0,8.23,5.70,469.7,0.6
2018-08-09 13:00,25.0,8.24,5.72,469.7,0.6
2018-08-09 14:00,25.1,8.24,5.71,469.6,0.6
2018-08-09 15:00,25.1,8.24,5.69,469.4,0.6
2018-08-09 16:00,25.1,8.23,5.68,469.0,0.6
2018-08-09 17:00,25.1,8.23,5.65,468.4,0.6
2018-08-09 18:00,25.2,8.23,5.64,468.3,0.6
2018-08-09 19:00,25.2,8.23,5.64,468.1,0.6
2018-08-09 20:00,25.2,8.23,5.66,467.8,0.6
2018-08-09 21:00,25.2,8.23,5.68,467.8,0.6
2018-08-09 22:00,25.2,8.23,5.67,468.2,0.6
2018-08-09 23:00,25.2,8.23,5.65,467.5,0.6
2018-08-10 00:00,25.2,8.22,5.64,467.6,0.6
2018-08-10 01:00,25.2,8.22,5.64,467.1,0.6
2018-08-10 02:00,25.2,8.22,5.64,467.1,0.6
2018-08-10 03:00,25.2,8.22,5.62,466.5,0.6
2018-08-10 04:00,25.1,8.22,5.61,466.7,0.6
2018-08-10 05:00,25.1,8.22,5.58,466.1,0.6
2018-08-10 06:00,25.1,8.22,5.60,466.2,0.6
2018-08-10 07:00,25.0,8.22,5.57,465.9,0.6
2018-08-10 08:00,25.0,8.22,5.60,465.8,0.6
2018-08-10 09:00,25.0,8.22,5.62,465.8,0.6
2018-08-10 10:00,25.0,8.22,5.65,466.1,0.6
2018-08-10 11:00,25.0,8.22,5.64,466.1,0.6
2018-08-10 12:00,25.1,8.23,5.65,466.2,0.6
2018-08-10 13:00,25.1,8.23,5.64,466.3,0.6
2018-08-10 14:00,25.2,8.23,5.62,466.3,0.6
2018-08-10 15:00,25.2,8.23,5.60,465.8,0.6
2018-08-10 16:00,25.2,8.22,5.58,465.8,0.6
2018-08-10 17:00,25.2,8.22,5.57,465.7,0.6
2018-08-10 18:00,25.2,8.22,5.57,465.5,0.6
2018-08-10 19:00,25.2,8.22,5.58,465.4,0.5
2018-08-10 20:00,25.2,8.22,5.59,465.0,0.6
2018-08-10 21:00,25.3,8.22,5.62,464.9,0.5
2018-08-10 22:00,25.3,8.22,5.60,465.1,0.5
2018-08-10 23:00,25.3,8.21,5.59,464.6,0.6
2018-08-11 00:00,25.3,8.21,5.58,464.6,0.5
2018-08-11 01:00,25.2,8.20,5.58,463.9,0.5
2018-08-11 02:00,25.2,8.20,5.58,464.0,0.5
2018-08-11 03:00,25.2,8.20,5.56,464.0,0.5
2018-08-11 04:00,25.1,8.20,5.56,464.2,0.5
2018-08-11 05:00,25.0,8.20,5.52,464.0,0.5
2018-08-11 06:00,25.0,8.20,5.54,464.1,0.5
2018-08-11 07:00,24.9,8.20,5.51,464.1,0.5
2018-08-11 08:00,24.9,8.20,5.57,464.1,0.5
2018-08-11 09:00,24.9,8.20,5.62,463.8,0.5
2018-08-11 10:00,24.9,8.20,5.64,463.8,0.5
2018-08-11 11:00,19.0,8.27,7.14,492.7,1025.3
2018-08-11 12:00,19.5,8.21,7.21,493.2,56.6
2018-08-11 13:00,19.6,8.33,7.16,492.3,1567.2
2018-08-11 14:00,20.8,8.25,7.23,493.1,1018.8
2018-08-11 15:00,19.1,8.26,7.44,491.2,573.8
2018-08-11 16:00,17.2,8.29,7.67,488.1,160.1
2018-08-11 17:00,18.2,8.31,7.62,487.8,375.4
2018-08-11 18:00,18.3,8.31,7.59,488.2,460.3
2018-08-11 19:00,18.0,8.31,7.64,487.0,410.2
2018-08-11 20:00,17.2,8.30,7.54,482.9,551.3
2018-08-11 21:00,16.9,8.30,7.50,481.3,389.2
2018-08-11 22:00,16.6,8.31,7.62,479.4,460.7
2018-08-11 23:00,16.7,8.31,7.52,478.2,430.8
2018-08-12 00:00,17.5,8.28,7.35,479.9,809.9
2018-08-12 01:00,16.8,8.30,7.61,481.0,749.2
2018-08-12 02:00,16.5,8.30,7.66,483.6,741.4
2018-08-12 03:00,16.3,8.31,7.66,485.8,550.4
2018-08-12 04:00,16.3,8.31,7.74,487.0,599.3
2018-08-12 05:00,16.4,8.31,7.67,487.0,418.7
2018-08-12 06:00,16.3,8.31,7.72,487.2,430.4
2018-08-12 07:00,16.4,8.31,7.70,487.2,316.0
2018-08-12 08:00,16.5,8.31,7.71,486.9,352.4
2018-08-12 09:00,16.6,8.31,7.77,486.3,354.4
2018-08-12 10:00,17.2,8.30,7.48,486.5,153.5
2018-08-12 11:00,17.9,8.30,7.39,487.1,98.1
2018-08-12 12:00,18.3,8.30,7.31,487.2,64.0
2018-08-12 13:00,18.7,8.30,7.23,487.0,41.2
2018-08-12 14:00,21.2,8.48,6.03,0.2,1.0
2018-08-12 15:00,17.5,8.32,7.64,491.1,191.8
2018-08-12 16:00,17.4,8.31,7.59,491.3,206.3
2018-08-12 17:00,17.3,8.31,7.53,491.0,176.8
2018-08-12 18:00,17.1,8.31,7.56,490.6,197.2
2018-08-12 19:00,16.5,8.32,7.59,492.7,168.7
2018-08-12 20:00,16.4,8.32,7.70,498.7,204.3
2018-08-12 21:00,16.4,8.32,7.64,490.8,154.6
2018-08-12 22:00,16.1,8.32,7.73,488.2,180.5
2018-08-12 23:00,16.2,8.32,7.66,487.7,165.1
2018-08-13 00:00,16.2,8.32,7.63,488.2,151.3
2018-08-13 01:00,16.2,8.32,7.82,488.1,149.8
2018-08-13 02:00,16.2,8.32,7.72,488.2,153.3
2018-08-13 03:00,16.2,8.33,7.66,487.8,127.0
2018-08-13 04:00,16.1,8.33,7.74,488.4,157.4
2018-08-13 05:00,16.2,8.33,7.65,489.0,124.7
2018-08-13 06:00,15.9,8.33,7.60,488.3,139.0
2018-08-13 07:00,16.2,8.33,7.65,488.5,146.4
2018-08-13 08:00,16.3,8.33,7.57,489.4,137.7
2018-08-13 09:00,16.6,8.32,7.66,492.7,269.9
2018-08-13 10:00,16.3,8.30,7.52,496.8,714.6
2018-08-13 11:00,17.1,8.29,7.46,495.1,974.0
2018-08-13 12:00,17.5,8.28,7.42,496.8,1441.6
2018-08-13 13:00,18.2,8.28,7.28,497.1,76.2
2018-08-13 14:00,19.0,8.26,7.17,496.5,46.1
2018-08-13 15:00,19.7,8.24,7.08,496.6,37.6
2018-08-13 16:00,20.3,8.24,7.02,496.9,33.8
2018-08-13 17:00,20.8,8.24,6.95,497.2,29.9
2018-08-13 18:00,21.2,8.24,6.90,497.7,29.4
2018-08-13 19:00,18.2,8.27,7.95,518.6,1818.7
2018-08-13 20:00,17.4,8.29,7.89,516.7,1826.6
2018-08-13 21:00,17.2,8.29,7.92,514.5,1145.5
2018-08-13 22:00,16.8,8.31,8.05,511.7,1791.1
2018-08-13 23:00,16.9,8.31,7.89,510.3,1189.5
2018-08-14 00:00,17.9,8.28,7.48,505.8,903.9
2018-08-14 01:00,17.0,8.31,8.04,504.6,704.0
2018-08-14 02:00,16.6,8.31,7.99,504.1,855.2
2018-08-14 03:00,16.6,8.30,7.78,499.4,878.9
2018-08-14 04:00,16.5,8.31,7.90,497.3,1035.8
2018-08-14 05:00,16.4,8.31,7.86,497.5,674.5
2018-08-14 06:00,16.1,8.32,7.72,495.0,729.9
2018-08-14 07:00,16.4,8.31,7.82,494.9,592.4
2018-08-14 08:00,16.7,8.31,7.81,494.1,677.6
2018-08-14 09:00,17.2,8.30,7.92,493.6,682.9
2018-08-14 10:00,16.6,8.31,7.76,493.9,677.5
2018-08-14 12:00,25.8,8.17,8.30,455.6,425.2
2018-08-14 13:00,18.5,8.18,10.09,455.1,427.2
2018-08-14 14:00,17.4,8.20,10.10,455.0,371.1
2018-08-14 15:00,18.6,8.20,10.01,454.6,288.4
2018-08-14 16:00,18.8,8.20,10.01,454.7,305.0
2018-08-14 17:00,18.5,8.20,10.19,453.9,290.6
2018-08-14 18:00,17.3,8.21,10.23,453.3,217.4
2018-08-14 19:00,17.6,8.21,10.17,454.0,195.1
2018-08-14 20:00,17.5,8.21,10.09,454.1,203.1
2018-08-14 21:00,17.3,8.20,10.21,454.5,236.2
2018-08-14 22:00,16.9,8.21,10.16,451.1,201.8
2018-08-14 23:00,17.3,8.20,10.10,457.0,392.7
2018-08-15 00:00,17.7,8.13,9.74,464.3,526.7
2018-08-15 01:00,17.2,8.19,9.98,459.6,396.2
2018-08-15 02:00,17.3,8.20,10.05,461.3,379.3
2018-08-15 03:00,17.3,8.20,10.15,463.2,307.7
2018-08-15 04:00,17.1,8.19,10.28,466.4,411.7
2018-08-15 05:00,17.3,8.18,10.22,466.1,325.0
2018-08-15 06:00,17.0,8.18,10.24,464.5,411.2
2018-08-15 07:00,17.4,8.19,10.16,465.2,397.8
2018-08-15 08:00,17.7,8.19,10.07,464.2,411.4
2018-08-15 09:00,17.7,8.18,10.10,463.6,475.2
2018-08-15 10:00,17.4,8.18,10.10,459.0,466.6
2018-08-15 11:00,17.8,8.18,10.07,458.4,464.9
2018-08-15 12:00,18.2,8.18,10.05,460.5,437.5
2018-08-15 13:00,18.5,8.18,10.33,462.7,449.6
2018-08-15 14:00,17.7,8.18,10.38,462.3,452.8
2018-08-15 15:00,18.9,8.14,10.33,466.6,734.3
2018-08-15 16:00,19.0,8.08,10.16,479.8,1025.2
2018-08-15 17:00,19.3,8.04,10.21,501.9,1026.4
2018-08-15 18:00,17.9,8.07,10.48,505.7,1018.9
2018-08-15 19:00,18.2,8.08,10.42,502.8,1020.5
2018-08-15 20:00,17.8,8.09,10.43,499.8,1017.6
2018-08-15 21:00,17.7,8.09,10.31,497.2,1016.6
2018-08-15 22:00,17.0,8.11,10.70,491.3,1012.7
2018-08-15 23:00,17.4,8.11,10.72,490.6,902.4
2018-08-16 00:00,18.2,8.08,10.40,486.5,1019.5
2018-08-16 01:00,17.0,8.11,10.92,486.9,1014.3
2018-08-16 02:00,16.7,8.12,10.95,485.2,1011.5
2018-08-16 03:00,16.6,8.12,10.75,482.4,1010.9
2018-08-16 04:00,16.4,8.13,11.10,477.3,1005.2
2018-08-16 05:00,16.5,8.15,10.96,474.7,988.5
2018-08-16 06:00,16.2,8.15,11.10,470.8,811.8
2018-08-16 07:00,16.4,8.16,11.02,469.6,761.4
2018-08-16 08:00,16.4,8.17,10.79,469.4,462.0
2018-08-16 09:00,16.2,8.15,10.72,468.1,752.3
2018-08-16 10:00,16.2,8.15,10.72,464.3,531.7
2018-08-16 11:00,16.5,8.16,10.61,464.8,514.9
2018-08-16 12:00,16.7,8.16,10.54,464.3,381.2
2018-08-16 13:00,16.6,8.16,10.66,463.5,460.1
2018-08-16 14:00,16.3,8.17,10.49,461.3,280.4
2018-08-16 15:00,16.8,8.16,10.58,461.4,358.8
2018-08-16 16:00,16.9,8.17,10.55,461.2,288.3
2018-08-16 17:00,16.6,8.16,10.80,461.3,321.8
2018-08-16 18:00,16.3,8.17,10.57,462.2,238.5
2018-08-16 19:00,16.7,8.17,10.66,460.0,305.0
2018-08-16 20:00,16.7,8.17,10.55,456.7,295.4
2018-08-16 21:00,16.4,8.16,10.72,453.2,506.9
2018-08-16 22:00,16.4,8.17,10.56,452.9,386.6
2018-08-16 23:00,16.7,8.17,10.59,452.1,471.7
2018-08-17 00:00,16.8,8.12,10.20,458.8,596.7
2018-08-17 01:00,16.6,8.15,10.57,454.2,696.3
2018-08-17 02:00,16.7,8.16,10.41,455.2,586.6
2018-08-17 03:00,16.6,8.15,10.38,454.9,684.7
2018-08-17 04:00,16.6,8.14,10.44,452.3,799.1
2018-08-17 05:00,16.6,8.13,10.29,449.6,919.1
2018-08-17 06:00,16.3,8.12,10.42,446.6,848.9
2018-08-17 07:00,16.4,8.11,10.40,445.9,1007.9
2018-08-17 08:00,16.6,8.11,10.30,447.5,915.4
2018-08-17 09:00,16.4,8.10,10.55,448.9,1009.5
2018-08-17 10:00,16.4,8.11,10.54,448.7,801.7
2018-08-17 11:00,17.1,8.12,10.54,448.5,998.4
2018-08-17 12:00,17.3,8.12,10.56,447.8,807.1
2018-08-17 13:00,17.2,8.12,10.76,446.4,984.2
2018-08-17 14:00,16.6,8.14,10.71,444.7,631.3
2018-08-17 15:00,17.8,8.13,10.68,444.9,828.5
2018-08-17 16:00,17.9,8.14,10.43,444.9,598.9
2018-08-17 17:00,18.1,8.13,10.40,444.9,703.2
2018-08-17 18:00,17.0,8.15,10.30,444.2,467.8
2018-08-17 19:00,17.3,8.16,10.38,444.8,520.9
2018-08-17 20:00,17.1,8.16,10.49,444.7,399.0
2018-08-17 21:00,16.9,8.16,10.53,444.8,551.4
2018-08-17 22:00,16.5,8.18,10.43,445.3,394.4
2018-08-17 23:00,16.8,8.18,10.69,446.2,442.3
2018-08-18 00:00,17.4,8.16,10.23,447.4,406.8
2018-08-18 01:00,16.9,8.18,10.68,447.1,453.0
2018-08-18 02:00,16.6,8.19,10.68,447.0,324.2
2018-08-18 03:00,16.6,8.20,10.69,447.5,326.5
2018-08-18 04:00,16.3,8.20,10.83,448.6,328.9
2018-08-18 05:00,16.4,8.21,10.73,448.2,282.1
2018-08-18 06:00,16.2,8.22,10.71,447.2,192.9
2018-08-18 07:00,16.4,8.22,10.63,447.1,254.5
2018-08-18 08:00,16.7,8.22,10.56,447.1,185.4
2018-08-18 09:00,16.9,8.21,10.71,446.1,276.3
2018-08-18 10:00,16.7,8.22,10.73,446.2,144.7
2018-08-18 11:00,17.8,8.21,10.72,445.5,181.2
2018-08-18 12:00,18.2,8.22,10.57,445.2,132.4
2018-08-18 13:00,18.5,8.21,10.73,445.8,215.9
2018-08-18 14:00,17.4,8.22,10.72,444.8,111.8
2018-08-18 15:00,18.4,8.21,10.62,445.3,159.1
2018-08-18 16:00,18.3,8.21,10.49,446.0,113.4
2018-08-18 17:00,18.5,8.20,10.67,448.2,179.9
2018-08-18 18:00,17.4,8.22,10.68,447.5,99.4
2018-08-18 19:00,17.7,8.22,10.69,447.7,136.1
2018-08-18 20:00,17.6,8.22,10.43,447.7,90.2
2018-08-18 21:00,17.1,8.22,10.57,446.7,156.6
2018-08-18 22:00,16.9,8.22,10.61,446.5,108.7
2018-08-18 23:00,17.2,8.22,10.50,445.0,134.0
2018-08-19 00:00,17.6,8.16,9.64,445.4,101.9
2018-08-19 01:00,16.9,8.22,10.52,444.2,131.8
2018-08-19 02:00,17.1,8.22,10.28,444.1,103.9
2018-08-19 03:00,17.0,8.22,10.36,445.1,98.6
2018-08-19 04:00,16.7,8.23,10.58,445.7,104.3
2018-08-19 05:00,16.7,8.23,10.48,446.5,90.9
2018-08-19 06:00,16.4,8.23,10.48,446.1,75.2
2018-08-19 07:00,16.6,8.23,10.60,446.6,86.2
2018-08-19 08:00,17.0,8.23,10.33,446.4,65.1
2018-08-19 09:00,17.3,8.22,10.55,445.8,96.9
2018-08-19 10:00,17.1,8.23,10.36,445.7,62.3
2018-08-19 11:00,18.3,8.21,10.48,446.4,77.3
2018-08-19 12:00,18.5,8.21,10.31,446.7,57.0
2018-08-19 13:00,18.7,8.20,10.65,447.0,95.0
2018-08-19 14:00,17.8,8.21,10.51,446.3,57.7
2018-08-19 15:00,19.0,8.20,10.36,446.9,90.1
2018-08-19 16:00,18.9,8.19,10.14,447.6,67.5
2018-08-19 17:00,18.8,8.18,10.42,447.5,101.9
2018-08-19 18:00,17.7,8.20,10.22,447.8,59.2
2018-08-19 19:00,18.1,8.20,10.30,448.5,86.8
2018-08-19 20:00,17.8,8.20,10.16,448.8,67.6
2018-08-19 21:00,17.2,8.20,10.40,448.7,94.3
2018-08-19 22:00,16.9,8.21,10.30,449.2,64.6
2018-08-19 23:00,17.1,8.21,10.37,448.5,80.7
2018-08-20 00:00,18.1,8.18,9.91,448.8,84.2
2018-08-20 01:00,17.0,8.21,10.59,447.8,231.4
2018-08-20 02:00,16.9,8.22,10.53,448.2,82.4
2018-08-20 03:00,16.9,8.22,10.51,447.9,63.1
2018-08-20 04:00,16.6,8.22,10.63,447.2,89.3
2018-08-20 05:00,16.7,8.22,10.56,447.3,65.8
2018-08-20 06:00,16.4,8.21,10.57,447.7,63.8
2018-08-20 07:00,16.7,8.22,10.46,447.3,77.8
2018-08-20 08:00,17.1,8.22,10.51,447.5,57.0
2018-08-20 09:00,17.4,8.21,10.66,447.3,109.3
2018-08-20 10:00,17.0,8.22,10.58,445.5,61.0
2018-08-20 11:00,18.2,8.21,10.52,446.6,74.8
2018-08-20 12:00,18.4,8.21,10.42,447.4,56.1
2018-08-20 13:00,18.6,8.21,10.77,447.8,106.0
2018-08-20 14:00,17.6,8.22,10.87,447.1,53.6
2018-08-20 15:00,18.8,8.21,10.64,448.1,79.3
2018-08-20 16:00,18.8,8.21,10.34,448.3,63.3
2018-08-20 17:00,18.7,8.20,10.69,448.5,136.8
2018-08-20 18:00,17.5,8.21,10.36,448.6,75.4
2018-08-20 19:00,17.9,8.20,10.35,448.9,104.1
2018-08-20 20:00,18.0,8.20,10.36,448.6,83.9
2018-08-20 21:00,17.6,8.16,10.11,542.5,1017.7
2018-08-20 22:00,16.9,8.09,10.20,812.5,1012.7
2018-08-20 23:00,17.0,8.05,10.16,723.5,1013.7
2018-08-21 00:00,17.8,8.04,9.59,716.9,115.8
2018-08-21 01:00,17.1,7.95,9.40,952.4,941.7
2018-08-21 02:00,17.1,7.92,9.42,1079.8,1014.2
2018-08-21 03:00,17.2,7.92,10.16,1100.6,1014.3
2018-08-21 04:00,17.1,7.94,10.85,993.9,1014.2
2018-08-21 05:00,17.1,7.96,10.72,895.4,1014.0
2018-08-21 06:00,16.8,7.99,10.77,785.3,1012.4
2018-08-21 07:00,17.0,8.02,10.83,700.8,1013.4
2018-08-21 08:00,17.2,8.04,10.68,643.0,1013.9
2018-08-21 09:00,17.2,8.06,10.78,595.4,1014.3
2018-08-21 10:00,17.0,8.08,10.66,568.1,1013.0
2018-08-21 11:00,17.6,8.08,10.52,557.4,1016.5
2018-08-21 12:00,18.0,8.07,10.30,544.1,1019.0
2018-08-21 13:00,18.6,8.04,9.75,527.1,1022.7
